Alvespimycin,Carmofur,Cediranib,Crizotinib,Curcumin,Dacinostat,Danusertib,Dasatinib,Givinostat,PCI-34051,Panobinostat,Pirarubicin,SRT1720,SRT2104,SRT3025,Sorafenib,Tanespimycin
1.0000,0.1058,0.0794,0.0873,0.1020,0.0940,0.0960,0.0923,0.0885,0.0917,0.0965,0.1304,0.0781,0.0803,0.0896,0.0667,0.8452
0.1058,1.0000,0.1149,0.1011,0.1311,0.1125,0.1011,0.0957,0.1351,0.1268,0.1622,0.0734,0.1250,0.1122,0.1146,0.0988,0.0943
0.0794,0.1149,1.0000,0.1333,0.1392,0.0680,0.1121,0.1481,0.0714,0.1099,0.1146,0.1040,0.1111,0.0924,0.2075,0.1000,0.0787
0.0873,0.1011,0.1333,1.0000,0.0964,0.0571,0.1009,0.1161,0.0600,0.0851,0.0800,0.0945,0.1415,0.0917,0.1026,0.1327,0.0781
0.1020,0.1311,0.1392,0.0964,1.0000,0.2239,0.1235,0.1163,0.1667,0.2167,0.2344,0.1458,0.1084,0.0968,0.1494,0.1389,0.1122
0.0940,0.1125,0.0680,0.0571,0.2239,1.0000,0.1100,0.1048,0.1975,0.1481,0.4348,0.0744,0.1313,0.0991,0.1215,0.0737,0.0932
0.0960,0.1011,0.1121,0.1009,0.1235,0.1100,1.0000,0.1792,0.1648,0.1591,0.1368,0.1210,0.1635,0.1491,0.1727,0.1327,0.0952
0.0923,0.0957,0.1481,0.1161,0.1163,0.1048,0.1792,1.0000,0.1327,0.1505,0.1078,0.0992,0.2000,0.1930,0.2072,0.1717,0.0916
0.0885,0.1351,0.0714,0.0600,0.1667,0.1975,0.1648,0.1327,1.0000,0.3538,0.1605,0.0776,0.1146,0.1143,0.1616,0.1975,0.0877
0.0917,0.1268,0.1099,0.0851,0.2167,0.1481,0.1591,0.1505,0.3538,1.0000,0.1688,0.1000,0.1444,0.1414,0.1935,0.1772,0.0909
0.0965,0.1622,0.1146,0.0800,0.2344,0.4348,0.1368,0.1078,0.1605,0.1688,1.0000,0.0763,0.1354,0.1333,0.1250,0.1000,0.0957
0.1304,0.0734,0.1040,0.0945,0.1458,0.0744,0.1210,0.0992,0.0776,0.1000,0.0763,1.0000,0.1024,0.1194,0.1212,0.0744,0.1377
0.0781,0.1250,0.1111,0.1415,0.1084,0.1313,0.1635,0.2000,0.1146,0.1444,0.1354,0.1024,1.0000,0.5000,0.3000,0.1429,0.0775
0.0803,0.1122,0.0924,0.0917,0.0968,0.0991,0.1491,0.1930,0.1143,0.1414,0.1333,0.1194,0.5000,1.0000,0.3208,0.1296,0.0797
0.0896,0.1146,0.2075,0.1026,0.1494,0.1215,0.1727,0.2072,0.1616,0.1935,0.1250,0.1212,0.3000,0.3208,1.0000,0.1321,0.0809
0.0667,0.0988,0.1000,0.1327,0.1389,0.0737,0.1327,0.1717,0.1975,0.1772,0.1000,0.0744,0.1429,0.1296,0.1321,1.0000,0.0750
0.8452,0.0943,0.0787,0.0781,0.1122,0.0932,0.0952,0.0916,0.0877,0.0909,0.0957,0.1377,0.0775,0.0797,0.0809,0.0750,1.0000
