Alvespimycin,Carmofur,Cediranib,Crizotinib,Curcumin,Dacinostat,Danusertib,Dasatinib,Givinostat,PCI-34051,Panobinostat,Pirarubicin,SRT1720,SRT2104,SRT3025,Sorafenib,Tanespimycin
1.0000,0.1049,0.0613,0.0739,0.0962,0.1011,0.1050,0.1019,0.0798,0.0674,0.1215,0.1250,0.0853,0.0856,0.0987,0.0789,0.8162
0.1049,1.0000,0.1127,0.0786,0.1429,0.0853,0.1000,0.0811,0.0968,0.0789,0.1333,0.0932,0.1329,0.1226,0.1125,0.0866,0.0909
0.0613,0.1127,1.0000,0.1257,0.1194,0.1006,0.0753,0.1381,0.1030,0.1192,0.0898,0.1100,0.1064,0.0891,0.1429,0.1018,0.0610
0.0739,0.0786,0.1257,1.0000,0.0833,0.0655,0.1092,0.1056,0.0606,0.0728,0.0938,0.0859,0.1356,0.1036,0.1015,0.1203,0.0788
0.0962,0.1429,0.1194,0.0833,1.0000,0.1379,0.0815,0.0935,0.1130,0.1500,0.1532,0.1126,0.0922,0.0921,0.0897,0.1017,0.1026
0.1011,0.0853,0.1006,0.0655,0.1379,1.0000,0.0833,0.0805,0.1469,0.0942,0.3443,0.0794,0.0920,0.1099,0.1075,0.0779,0.1064
0.1050,0.1000,0.0753,0.1092,0.0815,0.0833,1.0000,0.1412,0.0988,0.1379,0.1125,0.1066,0.1333,0.1309,0.1282,0.1250,0.0990
0.1019,0.0811,0.1381,0.1056,0.0935,0.0805,0.1412,1.0000,0.1220,0.1032,0.0824,0.1200,0.1290,0.1443,0.1414,0.1273,0.0962
0.0798,0.0968,0.1030,0.0606,0.1130,0.1469,0.0988,0.1220,1.0000,0.2049,0.1189,0.1111,0.0941,0.1124,0.1222,0.1250,0.0968
0.0674,0.0789,0.1192,0.0728,0.1500,0.0942,0.1379,0.1032,0.2049,1.0000,0.0970,0.0936,0.1090,0.1420,0.1250,0.1288,0.0670
0.1215,0.1333,0.0898,0.0938,0.1532,0.3443,0.1125,0.0824,0.1189,0.0970,1.0000,0.0582,0.0941,0.1186,0.0978,0.0728,0.1271
0.1250,0.0932,0.1100,0.0859,0.1126,0.0794,0.1066,0.1200,0.1111,0.0936,0.0582,1.0000,0.1024,0.1019,0.1000,0.0978,0.1244
0.0853,0.1329,0.1064,0.1356,0.0922,0.0920,0.1333,0.1290,0.0941,0.1090,0.0941,0.1024,1.0000,0.4268,0.1875,0.1059,0.0798
0.0856,0.1226,0.0891,0.1036,0.0921,0.1099,0.1309,0.1443,0.1124,0.1420,0.1186,0.1019,0.4268,1.0000,0.2371,0.0929,0.0901
0.0987,0.1125,0.1429,0.1015,0.0897,0.1075,0.1282,0.1414,0.1222,0.1250,0.0978,0.1000,0.1875,0.2371,1.0000,0.0968,0.1031
0.0789,0.0866,0.1018,0.1203,0.1017,0.0779,0.1250,0.1273,0.1250,0.1288,0.0728,0.0978,0.1059,0.0929,0.0968,1.0000,0.0957
0.8162,0.0909,0.0610,0.0788,0.1026,0.1064,0.0990,0.0962,0.0968,0.0670,0.1271,0.1244,0.0798,0.0901,0.1031,0.0957,1.0000
